,case_name,run_ref,model,process_time,preprocess_time,read_time,write_time,outfile_openings,outfile_seeks,infile_openings,infile_seeks,max_voxels,success
0,case 3_4,4,keep,760.3750150203705,8.056535720825195,409.7087914943695,136.9820408821106,4312,3136,8000,0,331625000,True
0,case 3_1,1,keep,353.9793674945832,0.015043020248413088,240.0095925331116,49.99339246749878,100,0,128,128,1393437500,True
0,case 3_4,4,baseline,1338.3951060771942,0.0,309.8734810352325,951.0128016471864,0,392000000,8000,0,0,True
0,case 3_6,6,keep,358.48259139060974,0.36817026138305664,257.28940725326544,62.74620485305786,700,0,400,0,673750000,True
0,case 3_0,0,keep,350.04394030570984,0.004097461700439453,295.83855056762695,53.45614814758301,32,0,64,0,2679687500,True
0,case 3_2,2,keep,425.6642565727234,0.18749451637268064,297.75677585601807,44.4515221118927,343,0,1600,1200,1195000000,True
0,case 3_5,5,keep,377.20501351356506,0.07501530647277832,270.37407660484314,50.63565993309021,196,0,640,480,787500000,True
0,case 3_2,2,baseline,805.8109383583069,0.0,231.75425171852112,572.5236954689026,0,196000000,1000,0,0,True
0,case 3_5,5,baseline,555.8716518878937,0.0,251.49112510681152,303.85875415802,0,196000000,400,0,0,True
0,case 3_3,3,keep,607.7830994129181,2.8347058296203613,267.77285718917847,130.76382684707642,4312,3136,1000,0,331625000,True
0,case 3_1,1,baseline,466.7030332088471,0.0,223.65944027900696,242.80756545066836,0,73500048,64,0,0,True
0,case 3_3,3,baseline,835.8727867603302,0.0,211.33379936218262,614.6844503879547,0,196336576,1000,0,0,True
0,case 3_6,6,baseline,343.28447270393366,0.0,247.74678134918213,94.64261698722841,0,210000,400,0,0,True
0,case 3_0,0,baseline,459.6728003025055,0.0,224.225531578064,235.3147487640381,0,56000,64,0,0,True
